index,id,created_at,text,author.id,author.created_at,author.username,author.location,author.public_metrics.followers_count,geo.full_name,public_metrics.like_count,public_metrics.retweet_count,sentiment
132,1082788254489939974,2019-01-08 23:56:51+00:00,"@siccasfricc is still waiting on her 10,000 vegan pizza delivery @pizzahutuk guess you didn’t use first class smh🤦‍♀️",1002677643085479941,2018-06-01T22:25:53.000Z,OllysLocal,pink palace,381,,0,0,0.0
136,1082788237431750656,2019-01-08 23:56:47+00:00,@JuliaNiblett Claire P! She got me a vegan pasty too but I haven't had that yet. Apparently it's even better! Saved it for tomorrow's lunch 😊 xxx,1011713381991149569,2018-06-26T20:50:41.000Z,SianYoude,"Cardiff, Wales",45,,0,0,0.8456
139,1082788212014145536,2019-01-08 23:56:41+00:00,@bellal_azimi I’m vegan.,831658181159825408,2017-02-15T00:15:36.000Z,_pettypee,Bae Area,3193,,0,0,0.0
141,1082788210575659008,2019-01-08 23:56:41+00:00,@Mhmddashraff vegan akl yaseeko😂😂,546113146,2012-04-05T16:44:14.000Z,AlaaMuhammedd,"Cairo, Egypt , NYC",1152,"القاهرة, مصر",0,0,0.0
142,1082788190065475590,2019-01-08 23:56:36+00:00,@RuthWareWriter @shockproofbeats Only made by the talentless interns denied access to the vegan buffet,232571547,2010-12-31T15:02:44.000Z,magbhitu,"Virginia, USA",254,,0,0,-0.6705
144,1082788172369674243,2019-01-08 23:56:32+00:00,"I live in a third world country, cant find a job and barely get by but i am vegan. The only expensive stuff is the fake meats and cheeses etc (just like the real thing). I hope you find its much easier and cheaper than most people think!! https://t.co/A0s2bGjsw4",40005016,2009-05-14T14:33:49.000Z,ChupameLaCajeta,veganism is the moral baseline,2301,,4,2,0.8039
145,1082788164018806784,2019-01-08 23:56:30+00:00,cba goin back to my tory vegan west end college class tomorrow,3003227907,2015-01-28T14:30:40.000Z,r0bynkennedy1,"Paisley, Scotland",565,,4,0,0.0
151,1082788099623735296,2019-01-08 23:56:14+00:00,Greggs' vegan sausage rolls are selling out everywhere! Many thanks to @piersmorgan for all the free publicity!  #vegan #veganuary #yearofthevegan #greggsvegansausageroll,1036944247491112961,2018-09-04T11:49:08.000Z,ElectricEnby,Invisible,1173,,3,0,0.7772
154,1082788079927083008,2019-01-08 23:56:10+00:00,@AFCBeef I’m left handed and I eat vegan food. Woe is me.,265599284,2011-03-13T21:00:49.000Z,smodha,🇸🇬 via 🇬🇧,288,,0,0,-0.4215
155,1082788073086148608,2019-01-08 23:56:08+00:00,"Cecinas Fanda,  the sausage company based in Los Angeles, Bio Bio province, is under pressure from the plant union workers who have been on strike for 57 days now.\n\nThe strike has lasted… https://t.co/syQgHwZIFw",1005945556563320832,2018-06-10T22:51:25.000Z,englishairwaves,"Concepción, Chile",30,,0,0,-0.4939
156,1082788060088188929,2019-01-08 23:56:05+00:00,@phytofruit #bike #yoga #health #womanhealth #healthyfood #dance #naturalfood #love #fitness #vegan #yogi #running #triathlete #hiking #hike #bikers #dressage #jumping #jumpinghorses #showjumper #rider #triathlon #womenswear #motivation #outdoors #climbing #skiing #sailing #surfing,31201563,2009-04-14T19:24:31.000Z,Hanszmann,"Florida, USA",49,"Florida, USA",0,1,0.0
159,1082788041725485056,2019-01-08 23:56:01+00:00,TGI Fridays Launches Vegan Burger In UK  After Being 'Inundated' With Requests https://t.co/15GvyYXJZ3 via @plantbasednews,739590883453108224,2016-06-05T22:53:02.000Z,Helenmaclean57,"Hurstpierpoint, England",38,,0,0,0.0
160,1082788039280209920,2019-01-08 23:56:00+00:00,"I just wanna say thank you to Disney for making it so easy to eat vegan in their parks. I really really appreciate it.\n\nLike seriously, if you're vegan and want to go to Disney, you'll be covered. They are so informative about the food and know their shit.",973300068525764611,2018-03-12T20:49:54.000Z,VeganRyuu,,92,,0,0,0.6427
163,1082788035886895105,2019-01-08 23:55:59+00:00,I added a video to a @YouTube playlist https://t.co/Vip0c88Xdc How to cook - Okra | Healthy vegan recipe,830122675502718976,2017-02-10T18:34:03.000Z,xobaerofficial,"Birmingham, England",46,,0,0,0.4019
164,1082788034758602752,2019-01-08 23:55:59+00:00,I added a video to a @YouTube playlist https://t.co/7pl7jooyS6 String Beans recipe | Healthy Vegan,830122675502718976,2017-02-10T18:34:03.000Z,xobaerofficial,"Birmingham, England",46,,0,0,0.4019
165,1082788032275759106,2019-01-08 23:55:58+00:00,What it's like Living on a Plant-Based Diet for 1 Month #plantbased https://t.co/5Zy2UkVhD0,2521911236,2014-05-25T04:22:51.000Z,jwitts39,"Naperville, IL",70,,1,0,0.3612
166,1082788027389358081,2019-01-08 23:55:57+00:00,"Battleships aren’t vegan. This comes from a cross-section schematic of the @USSMissouri, now decorating the new offices of the @BklynNavyYard in Building 77. https://t.co/6Dxw6poaQM",733067312,2012-08-02T15:47:30.000Z,TurnstileTours,"New York, NY",2447,,1,0,-0.128
169,1082788007718121472,2019-01-08 23:55:52+00:00,We rely vegan companies to keep animals central to the surge in vegan &amp; plan{e}t based catering. After 34 years at the Campaign Catering front line we urge event organisers to support the 300+ #vegan &amp; #sfv veggie caterers on our directory at https://t.co/uwS5chgSxk https://t.co/38FoQtqetM,64096842,2009-08-09T02:53:08.000Z,veggiesnottm,"Nottingham, UK",4677,,7,2,0.4019
172,1082788004618481664,2019-01-08 23:55:52+00:00,@nathandowneyh If ur not vegan I'll give u his Instagram. If u are vegan than sorry but ur not his type 🤧,2287196036,2014-01-11T21:24:51.000Z,LydiaBeck18,,261,,0,0,-0.0387
175,1082787948574199810,2019-01-08 23:55:38+00:00,Not just new ships.. but ships with the BEST gourmet #vegan menu onboard 😍🌱 https://t.co/M3SLo6NXgl,749352251219664896,2016-07-02T21:21:13.000Z,vegancruiser,"Scotland, UK",2710,,2,0,0.836
177,1082787899517689856,2019-01-08 23:55:27+00:00,"So about this vegan (no), vegetarian(no) pescatarian journey....I have been feeling great then something said go on...you can have a little chicken. OMG I feel like I did in my first trimester of pregnancy living in... https://t.co/pp4LF2eRDW",1513174326,2013-06-13T11:59:58.000Z,TaneshaBarnes,International,445,,0,0,0.7964
178,1082787861546569730,2019-01-08 23:55:18+00:00,@the_Fuckery_Tho @Cindtrillella Cauliflower held me down when I was vegan. Don’t play ya self,407051392,2011-11-07T15:28:17.000Z,AdnaAIA,,5320,,0,0,0.34
183,1082787827010756609,2019-01-08 23:55:09+00:00,@LBC @IainDale https://t.co/rC18PvY9lG,206728335,2010-10-23T15:49:08.000Z,VanillaVegan,Far from the turbulent space,613,,2,0,0.0
184,1082787825383325696,2019-01-08 23:55:09+00:00,"Vegan business opportunities more plentiful, profitable; will help cause of animal rights in India - Firstpost - https://t.co/g79RGDD4a9",90253055,2009-11-15T21:33:14.000Z,debruning,"Victoria, BC",6387,,0,0,0.8166
186,1082787804709638145,2019-01-08 23:55:04+00:00,Frugal Vegan by Katie Koteen and Kate Kasbee https://t.co/1vin7NhdDI https://t.co/hfW8wvMGAs,41160647,2009-05-19T17:20:08.000Z,veganfuture,,123008,,6,0,0.0
187,1082787804583813121,2019-01-08 23:55:04+00:00,The whole pieces of corn in this vegan cornbread are so yummy! https://t.co/hRcROakY1B #vegan #plantbased #veganrecipe,556541950,2012-04-18T04:19:28.000Z,plantbasedblog,"Sacramento, CA",15073,,4,1,0.6867
188,1082787801572261894,2019-01-08 23:55:03+00:00,#Fashion Industry - The first ever Vegan Fashion Week is about to take place https://t.co/irapyW6jAs https://t.co/wOuXQkFjKf,22149535,2009-02-27T15:20:34.000Z,RAntoshak,"Nashville, TN  USA",32200,,0,0,0.0
195,1082787776590987264,2019-01-08 23:54:57+00:00,@GoVeganWorld2 @VegfestUK @WeAreVeganuary @AnimalAid @VeganOlive1 You are very welcome\nJust plug our vegan cookbook when it finally comes out 😂 #veganuary2019 https://t.co/8yyI61nuou,47364800,2009-06-15T15:46:39.000Z,BishopWeston,London & New Forest,6846,"Beaulieu, England",1,0,0.0
199,1082787745435713537,2019-01-08 23:54:50+00:00,"@geeenz_ @mandingoateyobb @CarnivoreDad uh yeah, his hospital got pissed because he was telling people to eat meat based ketogenic diets so they wouldn't be inflamed or infected when he did surgery on them. So many of them felt better, they canceled their surgeries. You're a real gift to the vegan movement.",30940684,2009-04-13T19:44:23.000Z,Travis_Statham,"Brooklyn, NY",12057,,1,0,0.162
201,1082787740914196481,2019-01-08 23:54:49+00:00,10 Vegan Foods to Feed Your Body...And Your Brain! 👩‍🌾🧠🤯 #vegan #veganrecipes #brainhealth #brain #smart #vgang #veganuary https://t.co/wclNvFsxPw,930881733066551296,2017-11-15T19:34:34.000Z,wearegoodnews_,"Santa Monica, CA",32,,3,2,0.0
204,1082787731078561793,2019-01-08 23:54:46+00:00,Great news!  I was addicted to their roast chicken style pieces before I went vegan https://t.co/FRz1fl5C2p,404455326,2011-11-03T23:19:50.000Z,IanMiddletonX,Oxford,3907,,0,0,0.6588
212,1082787681434824705,2019-01-08 23:54:35+00:00,I'm vegan... raw vegan!,2456821508,2014-04-21T16:16:31.000Z,CancelAlevrin,,87,,0,0,0.0
217,1082787672316407808,2019-01-08 23:54:32+00:00,@sumarumi @Ollie4TheMany @paul_marsh_ @sainsburys Some vegans are faux omnivores though. Why does it bother you how people choose to be vegan? Surely the fact that they’re vegan is great for the cause?!,604466305,2012-06-10T12:03:01.000Z,thoughtsofshaz,,1783,,9,0,0.7393
219,1082787645972013057,2019-01-08 23:54:26+00:00,@YoungAins I’ve been wrong plenty of times but distinguishing between Yaxley-Lennon and Owen Jones is not one. I bet you were livid about the Greggs vegan sausage roll too??,163619229,2010-07-06T21:55:17.000Z,TomWadsworth89,,49,,0,0,-0.7998
230,1082787592918257664,2019-01-08 23:54:14+00:00,#whatveganseat #breakfast burritos - @followyourheart cheese @Lightlife bacon and @Tofurky sausage #CD_Chef #VeganChef #Vegan #BlackVegan #NoMeat #NoDairy #FriendsNotFoo #VegansOfIG… https://t.co/rNpadstkkS,262555240,2011-03-08T08:15:05.000Z,Chef_CD,Charlotte,26,,2,0,0.0
236,1082787565730713602,2019-01-08 23:54:07+00:00,vegan lentil soup #frugalfoodie #cheapfood #cheapvegan #plantbased #plantbasedrecipes https://t.co/EQy6fleOOL,18215158,2008-12-18T14:11:30.000Z,Mommysavers,"Minnesota, USA",5224,,1,0,0.0
238,1082787541961576448,2019-01-08 23:54:01+00:00,People forget that the vegan sausage rolls are also beneficial for the lactose intolerant 🤷🏻‍♀️,249793036,2011-02-09T20:00:02.000Z,luccyyloo,Down by the river,393,,4,0,0.25
240,1082787537482145792,2019-01-08 23:54:00+00:00,19 Razones para hacerte vegan@ en el 2019 https://t.co/tZoJKFdz6u,833134416960614401,2017-02-19T02:01:38.000Z,Freevegans,,67,,0,0,0.0
243,1082787527679975425,2019-01-08 23:53:58+00:00,i bought vegan caramels but they are on the living room and im on my room should i get up and get them,1075900347183439872,2018-12-20T23:46:46.000Z,vegansproutty,Germany,56,,0,0,0.0
244,1082787497447489539,2019-01-08 23:53:51+00:00,"Valentines Days Join @mzzpjones The New Vegan Juice Bar at @Juuuicybar celebrate big with a game night package, a plant based meal and a drink. RSVP here at… https://t.co/aAZPHK4S4f",1039157883634630659,2018-09-10T14:25:20.000Z,Juuuicybar,"West Palm Beach, FL",12,,0,0,0.7096
246,1082787482062733312,2019-01-08 23:53:47+00:00,19 Razones para hacerte vegan@ en el 2019 https://t.co/y71a87RcZL,995418740853542912,2018-05-12T21:41:36.000Z,FreevegansCol,Colombia,60,,1,0,0.0
